Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14985284;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;5855742155,9
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3185564985,86
Governo do Estado de Goiás;52;GO;7206589;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3774328033,57
Governo do Estado do Piauí;22;PI;3289290;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1068544224,81
Governo do Estado do Rio de Janeiro;33;RJ;17463349;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;15180231055,08
Governo do Estado de Pernambuco;26;PE;9674793;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3396404643,55
Governo do Estado do Rio Grande do Sul;43;RS;11466630;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;6278051714,42
Governo do Estado de Rondônia;11;RO;1815278;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1558579692,49
Governo do Estado de Minas Gerais;31;MG;21411923;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;18922940038,75
Governo do Estado do Mato Grosso;51;MT;3567234;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3520213912,88
Governo do Estado do Acre;12;AC;906876;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1020473939,2
Governo do Estado da Paraíba;25;PB;4059905;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1866161521,13
Governo do Estado do Tocantins;17;TO;1607363;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1264758059,02
Governo do Estado do Espírito Santo;32;ES;4108508;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2023752520,13
Governo do Estado de Sergipe;28;SE;2338474;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1253989287,06
Governo do Estado do Rio Grande do Norte;24;RN;3560903;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2305933981,19
Governo do Distrito Federal;53;DF;3094325;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1186519440,38
Governo do Estado do Paraná;41;PR;11597484;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;5283235009,36
Governo do Estado do Mato Grosso do Sul;50;MS;2839188;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2096097105,92
Governo do Estado do Maranhão;21;MA;7153262;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2096734987,31
Governo do Estado do Amazonas;13;AM;4269995;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2641795841,98
Governo do Estado de Alagoas;27;AL;3365351;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1794418089,74
Governo do Estado do Ceará;23;CE;9240580;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4470803652,35
Governo do Estado de Roraima;14;RR;652713;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;705746482,86
Governo do Estado do Pará;15;PA;8777124;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4718838963,13
Governo do Estado do Amapá;16;AP;877613;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;930140168,2
Governo do Estado de São Paulo;35;SP;46649132;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;15168498886,5
